Landgrabbed	Landgrabber	Base	Sector	Hectares	Production	Projected investment	Status of deal	Summary
Mozambique	Tereos	France	Agribusiness	100,000	Sugar cane		Done	In 2007, French sugar giant Tereos, through its Brazilian subsidiary, Açúcar Guaraní, acquired 75% of  Mozambique’s Sena Holdings Ltd, giving it full control over Sena's sugar factory and a 50-year lease on 14,000 ha of sugar plantations in Zambezia province.
Mozambique	Tata Chemicals	India	Industrial	24,000	Sugar cane	US$320 million 	Done	In July 2011, Bloomberg reported that Grow Energy, a subsidiary of India's Tata Chemicals, would invest US$320 million to develop an ethanol plant and sugar cane plantations on 24,000 ha in Mozambique.
Mozambique	MedEnergy	Italy	Energy	10,000	Oil palm		In process	MedEnergy Global is a UK-based holding company owned by Italy's Belleli family, which made its fortune in the energy sector. MedEnergy is pursuing a 10,000-ha oil-palm plantation project in Mozambique's Cabo Delgado Province.
Mozambique	Società Fondiaria Industriale Romagnola 	Italy	Agribusiness	8,600	Sugar cane		Done	CIFOR reports that the Italian company Società Fondiaria Industriale Romagnola (SFIR) was allocated an 8,600-ha concession for sugar cane in Mozambique.
Mozambique	Libyan African Investment Portfolio	Libya	Government	20,000	Rice	US$33 million	Done	In 2009, the Libya Africa Investment Portfolio and the Mozambican company Ubuntu SA launched a US$33-million rice project that will cover 20,000 ha near Bela Vista, capital of Mozambique's southernmost district of Matutuine. By 2014, the companies intend to have 5,000 ha under production. The project is financed by the Libyan African Development Fund.
Mozambique	Mauritius	Mauritius	Government	23,500	Rice, crops		Done	In August 2009, Mauritius' Minister of Foreign Affairs said his government had acquired a long-term lease on 20,000 ha of farmland in Mozambique to produce rice for his country. He went on to add that 10,000 ha of the land would be sub-leased to Vita Grain, which would invest US$43.5 million in the production of its proprietary hybrid rice. Talks were also underway to sub-lease the remaining 10,000 ha to the Ning Group of Swaziland. A subsequent report by PANA in January 2010 said that Mozambique had provided Mauritius with 23,500 ha, and that Mauritius had set up a company to facilitate private investments on the land, under the provision that a quarter of the production would be destined for both countries. 
Mozambique	Companhia do Búzi	Portugal	Agribusiness	6,214	Sugar cane	US$30 million 	In process	In 2004, the Companhia do Búzi was sold by the Government of Mozambique to Portugal's Petiz family for US$1.3 million, giving the Petiz family control over the company's 15,000 ha of sugar-cane plantations.  In 2010, the company submitted an application for an additional 6,214 ha of land for a US$30-million expansion of its operations. 
Mozambique	Quifel Natural Resources	Portugal	Agribusiness, energy	10,000	Sesame, soybeans, sunflower seed		Done	Quifel Natural Resources is part of Portugal's Quifel Group, a holding company controlled by Portuguese aristocrat, businessman and amateur racing-car driver Miguel Maria de Sá Pais do Amaral, which is involved in multiple sectors, from insurance and real estate to agriculture and energy. Quifel began investing in farmland through the development of palm-oil production in Brazil. With land prices rising in Brazil, the company turned its attention to Africa in 2007, where it decided to focus on acquiring large land concessions in coastal East African countries for oilseeds, and West African countries for fruit and vegetables. So far Quifel has acquired land in Mozambique, Angola and Sierra Leone. Quifel's concession in Mozambique is located in Lioma, Zambezia Region. The company requested 30,000 ha in 2009 but was granted only 10,000 ha by the Mozambican government. According to an Oakland Institute report "the project (named Hoyo Hoyo) has already run into a serious conflict with local communities". 
Mozambique	Sabiol	Portugal		29,000	Sugar cane		Done	According to a report by Justiçia Ambiental and the União Nacional de Camponeses and a report by IIED, a company called Sabiol is pursuing the production of sugar cane and coconut and palm oil on 29,000 ha of land in Mozambique.
Mozambique	Olam International	Singapore	Agribusiness	227	Rice	US$35 million	Done	Olam is an Indian non-resident company, based in Singapore. It is one of the world's largest commodity traders and is investing heavily in farming operations and contract farming schemes, particularly in Africa and Latin America. In 2011, Bloomberg reported that Olam is to invest over US$35 million to set up a rice-production base in the Mopeia area of Mozambique to produce eventually 100,000 tonnes of rice per year. So far, it has been reported that the company will set up its own operations on 227 ha, and that it will also contract from 100 farmers.
Mozambique	AgriSA	South Africa	Agribusiness	1,000,000			Done	In May 2011, The Guardian reported that 800 South African farmers had acquired 1 million ha in the Mozambican Province of Gaza, by way of an arrangement negotiated by sugar farmer Charl Senekal, an associate of the South African president Jacob Zuma. The deal was to be celebrated in Pretoria in June 2011.
Mozambique	Servir Moç	South Africa	Agribusiness	2,000	Mixed farming		Done	In 2011, Justiça Ambiental & União Nacional de Camponeses reported that the South African company Servir Moç had acquired a 2,000-ha mixed farming operation in Mozambique
Mozambique	Tenga Lda	South Africa	Agribusiness	2,000	Almonds		Done	Tenga was established by a group of South African investors. It is developing an almond farm in Niassa province as well as a macadamia plantation on 500 ha.
Mozambique	Tongaat-Hulett	South Africa	Agribusiness	31,174	Sugar cane		Done	Between 2006 and 2008, the Government of Mozambique allocated South African sugar company Tonga-Hulett concessions for sugar-cane plantations on over 30,000 ha of land in Mafambisse and Xinavane.
Mozambique	SEKAB	Sweden	Energy	15,000	Sweet sorghum		Done	In 2008, Swedish Alcohol Chemistry AB (SEKAB), a corporation owned by three municipalities in northern Sweden, began the implementation of a massive 200,000-ha project in Tanzania to cultivate sugar cane for the production of ethanol for export to Sweden. SEKAB was also implementing a 15,000-ha sweet-sorghum project in the Cabo Delgado province of Mozambique. Opposition at home and abroad forced the company to back down from its projects, and in 2009 SEKAB sold all its African projects to its former CEO Per Carstedt for a token sum of €40. Carstedt has revived the Tanzania project and is setting up a sugar company, with an 8,000-ha sugar-cane plantation and a refinery in Bagamoyo. The project in Mozambique is now being run under the name AgroEconomy.
Mozambique	Agriterra	UK	Agribusiness	16,700	Cattle		Done	Agriterra's founder and CEO is mining venture capitalist and  former England cricket international Phil Edmonds. The company owns cattle ranches and maize farms in Mozambique, covering nearly 17,000 ha, with plans to expand to over 20,000 ha in the near future. In 2011, it acquired a 50-year lease (with an option to renew for a further 21 years) over approximately 45,000 ha of agricultural land in the Pujehun District in the Southern Province of Sierra Leone, where it intends to develop palm-oil plantations. 
Mozambique	Emvest	UK	Finance	3,500	Cereals, oilseeds		Done	UK private equity firm Emergent Asset Management launched an African Agricultural Land Fund in 2007 and has since acquired at least 30,000 ha in South Africa, Zambia, Mozambique, Swaziland and Zimbabwe. Emvest was set up as a joint venture between Emergent and South African agribusiness company RusselStone to put the African Agricultural Land Fund into operation. In Mozambique, Emvest has 2,000 ha where it intends to produce jatropha and 1,500-ha of disputed land in the Chokwe District that it plans to irrigate and cultivate with row crops anyway. In 2011, Emvest was split off from Emergent Asset Management following the separation of its owners.
Mozambique	Principle Capital Holdings	UK	Finance	23,000	Sugar cane		Done	In 2007, Principle, which is listed on London's AIM and backed by a group of hedge funds, began a project to develop a sugar-cane plantation on more than 20,000 ha in the Dombe District of central Mozambique that will provide feedstock for what it says will be one of the world's five largest ethanol plants. Shareholders of Principle include Nicholas Trust (Australia), Jupiter (UK), Deutsche Bank (Germany) and SVM Asset Management (UK).
Mozambique	Saxonian Estates	UK	Agribusiness	150,000	Animal ranching, coconut oil (export), jatropha, pineapple		Done	Grupo Madal was taken over in 2005 by Rift Valley Holdings (RVH), a company established in 2005 through a merger of the African operations of Saxonian Estates and Höegh Capital Partners. RVH owns/leases roughly 400,000 ha of land in Mozambique, Tanzania, and Zimbabwe. RVH acquired 210,000 ha of land in Niassa Province, Mozambique in 2006 and is also seeking 3,000-5,000 ha for row crops in Burkina Faso. 
Mozambique	Saxonian Estates 	UK	Agribusiness	3,000	Bananas	US$7.7 million	Done	Matanuska is a Mozambique-based company owned by UK-based Saxion Estates subsidiary Rift Valley Holdings, one of the largest African farmland owners, and Matanuska Mauritius, which appears to be a shell company. Norfund has invested US$3.7 million in the company, giving it a 33.3% share, and provided it with US$4 million in loans. In a first phase of the company's operations, Matanuska established a 3,000-ha banana plantation and secured a 12-year supply agreement with Chiquita. According to a report by Mozambique's national farmers organisation UNAC, the company has made repeated labour-law violations.
Mozambique	Aslan Global Management	US	Agribusiness	10,000	Maize, soybeans		Done	Aslan was created by Jes Tarp and Paul Larsen of the US after their experience in setting up farms with other foreign investors in the Ukraine. In 2008, they merged four of their Ukrainian farms into a single operation, called Alpha Farm, covering a total of 8,750 ha. In 2009 Tarp and Larsen formed Aslan Global Management to expand their farming operations into Africa. In Mozambique, they established a subsidiary, Rei do Agro Limitada, and acquired a 50-year renewable lease to 10,000 ha of lands, where they are cultivating 2,000 ha of soybeans and maize. In July 2011, The Guardian (Tanzania) reported that Aslan had acquired 42,000 ha for cash-crop production in Morogoro Region of Tanzania.
Mozambique 	Prio Foods	Portugal	Agribusiness	24,234	Maize, soybeans, sunflowers		Done	In 2005, Prio Foods, a subsidiary of Grupo Martifer, began investing in farmland as a way to secure supplies for its food operations. It currently operates farms in Brazil, Romania and Mozambique. It began investing in farmland in Mozambique in 2008. By 2011, it had nearly 25,000 ha under concessions, although it was only cultivating sunflower on 3,000 ha. The company intends to expand production and begin cultivating cereals and soybeans.
Namibia	Al Dahra	UAE	Agribusiness	200	Date palm		Done	In August 2010, Abu Dhabi’s Al Dahra Agricultural Company, one of the main suppliers of animal feed to the UAE, said it was halfway through the implementation of a plan to produce feed and food crops on 60,700 ha of farmland in Europe, the US, South Asia and North Africa to boost the UAE’s food security. The company has 200 ha under date-palm production in Namibia.
Namibia	Caparo group	UK	Industrial	30,000	Fruit, grains, herbs, nuts, pasture, vegetables	US$250 million	Done	Namibia Agriculture and Renewables (NAR) is a subsidiary of UK-based Caparo Group, which is owned by Baron Swraj Paul, an Indian-born, British-based business magnate and Labour politician close to former Prime Minister Gordon Brown. NAR originally planned to grow jatropha on 100,000 ha in the Caprivi Region of Namibia, but decided it was not viable. It is now pursuing a US$250-million deal to produce grains, pastures, fruit, vegetables, nuts, and herbs on 30,000 ha of irrigated lands in the same area. In October 2010, NAR project manager François Waal told Insight Magazine that his company had been waiting for over a year for the final go-ahead from the Ministry of Lands. Caparo also control over 40,000 ha of farmland in Sierra Leone for oil palm.
Namibia	Dem-Inter International 	UK	Agribusiness	10,000	Canola, maize, rice, wheat	US$20 million	Done	Dem-Inter was founded in 2004 by Mark Lewis of the UK to establish and manage large farms in Russia on behalf of investors. The company then expanded to southern Africa, establishing a 3,000-ha operation with Jumba Royal Council in South Africa in 2009 and, in 2010, a partnership with Namibia's Labour Investment Holdings, owned by the National Union of Namibian Workers Trust, to develop a controversial 10,000-ha farm on a forested area of the Bwabwata National Park, on which several hundred families depend. The company acquired the lands in Namibia through a 25-year leasehold from the area's Traditional Authority in exchange for a 15% stake in the US$20-million project. 
New Zealand	The Trust Company Limited	Australia	Finance	13,691		US$42 million	Done	In March 2011, the Overseas Investment Office approved Australia's The Trust Company's purchase of The New Zealand Guardian Trust, which in a trustee capacity, owns or controls a freehold interest in 13,691.73 ha of land at various locations around New Zealand.
New Zealand	Pengxin Group	China	Real estate	8,615	Dairy farms		Done	Shanghai real-estate mogul Jiang Zhaobai, Chairman and owner of the Pengxin Group, has been investing heavily in farmland over the past few years. In China, it acquired 650 ha of farmland near Shanghai, used for sheep, wheat and soybeans, and has another 930-ha sheep farm in Shandong Province. Outside China, the company invested more than US$20 million in a Bolivian soybean and maize farm, established large-scale farms in Cambodia and Argentina, and is negotiating to buy 200,000 ha in Brazil to grow soybeans and cotton. in January 2011, it made an offer to buy Crafar farms in New Zealand, which encompasses 16 dairy farms, following an unsuccessful bid by China’s Natural Dairy (NZ) Holdings Ltd. The sale was approved by New Zealand government in January 2012.
New Zealand	Ingleby Company	Denmark	Finance	14,461	Cattle, sheep		Done	The Ingleby Company, which is owned by Denmark's Rausing dynasty, began purchasing farms in New Zealand in 1999 and by 2011 it had acquired 17 farms, some of which have been amalgamated. The company recently sold two of its farms on the East Coast and is seeking more in King Country as a way to spread climate risks. The Rausings are also buying farmland in Argentina, Romania, USA, Uruguay and Australia. 
New Zealand	Aquila 	Germany	Finance	4,570	Dairy  	US$111 million	Done	Aquila Capital's AgrarInvest fund manages investments for around 1,000 German investors. The fund focuses on the acquisition of dairy farms in New Zealand and cattle farms and sugar-cane plantations in Brazil. Through a German consortium with Neuseeland Milchfarm Investitions and Alceda Star and with the support of New Zealand's MyFarm, AgrarInvest acquired at least 11 dairy farms in New Zealand in 2010-11, making it one of the largest dairy producers in the country. Aquila is also targeting farmland in Brazil.
New Zealand	DAH Beteiligungs	Germany	Information technology	1,468	Dairy	US$53.2 million 	Done	DAH Beteiligungs is a holding company owned by the family of Dietmar Hopp, who helped found the business software giant SAP in 1972. The company has purchased five farms.
New Zealand	Reda Holding	Italy	Industrial	16,666	Sheep	US$4.8 million	Done	Reda Holding, an Italian textile company, is owned by the Botto Poala family. In 2012, the company purchased two sheep farms in the Waitaki Valley that will supply its plants with merino fine wool.
New Zealand	Christian Welte	Switzerland	Finance	8,481	Sheep, cattle, forest	US$16.3 million	Done	Christian Welte, through his New Zealand-registered company Monte Forestry, purchased 3 farms in New Zealand in 2011 that he intends to combine into a single forestry and sheep/beef-farming operation. 
New Zealand	Middle Mount Forest	Switzerland	Finance	3,200	Sheep, cattle	US$15 million	Done	Middle Mount Forest, owned by Heinrich Martin Henni of Switzerland, bought its first farm in New Zealand in 2006 and then another two in 2009, including a 1,000-ha sheep and cattle farm from Dutch bank Rabobank for US$4,275,000. The farms are located at Northern Hawkes Bay and Tiniroto, Gisborne.The company also owns 1,300 ha of forest in New Zealand.
New Zealand	Soho Property Limited	UK	Real estate	22,000	Sheep		Done	In June 2011, Soho Property  of the UK was given approval by the Overseas Investment Office to acquire 22,000 ha of low-value pastoral land, where the company intends to farm around 4,000 sheep and pursue ecotourism projects.
New Zealand	Harvard Management Company	US	Finance	1,760	Dairy	US$34.1 million	Done	Harvard Management Company is the endowment fund of Harvard University. In October 2010, New Zealand's Overseas Investment Office approved the Harvard fund's NZ$34-million purchase of Big Sky Dairy Farms, a 1,600-ha dairy farm in the Otago region. The farm will be integrated into its other dairy farm in Otago, making Harvard the region's largest operator. Harvard Management Company also invests in the African farmland fund of the UK's Emergent Asset Management.
Niger	Bin Taleb Group/Al Tamini Khaled Alhil 	Saudi Arabia	Agribusiness, industrial	15,922	Ecotourism, irrigate crops 		Suspended	In January 2007, Niger's Minister of Agriculture announced that it had signed a deal with three Saudi companies, including Al Tamini Khaled Alhil and Bin Taleb International, to provide them with 15,922 ha of lands in the region of Dosso. In September 2009, Abdoul Karim Mamalo, Permanent Secretary of the Rural Code, a government agency opposed to the deal, reported that the agreement had been stopped.
Nigeria	Chinese investors	China		6,000	Cassava		Done	In July 2010, Tunde Lakoju, the Edo State Commissioner of Agriculture, said that an MoU had been signed with Chinese investors to cultivate 6,000 ha of cassava in the state. The identity of the Chinese investors was not disclosed.
Nigeria	FRI-EL Green 	Italy	Energy	11,292	Oil palm		Done	In 2009, FRI-EL Green, an Italian company half-owned by German energy giant RWE, purchased an 11,000-ha oil-palm plantation in Abia State in southern Nigeria, with rights to expand the concession to up to 100,000 ha.
Nigeria	Foras International Investment Co	Saudi Arabia	Finance	1,000	Crops	US$100 million 	Done	Foras' investment in Nigeria is part of a larger project to cultivate rice on 700,000 ha in various African countries. Foras acts as the investment arm of the Organization of the Islamic Conference. Its main shareholders and founders are the Islamic Development Bank and several conglomerates from the Gulf region, including Sheikh Saleh Kamel and his Dallah Al Barakah Group, the Saudi Bin Laden Group, the National Investment Company of Kuwait and Nasser Kharafi, the world's 48th-richest person and owner of the Americana Group.
Nigeria	T4M	UK	Agribusiness	300,000	Rice		Done	T4M claims to have completed negotiations for a 25-year lease on 100,000 ha in Ghana and 300,000 ha in Nigeria. It is working in partnership with the government of Vietnam and is supported by the UK government. It is looking for investors to inject US$425 million for each 10,000-ha farm it plans to establish on the lands it has leased.
Nigeria	Dominion Farms	US	Agribusiness	30,000	Rice	US$40 million	Done	Dominion Farms is owned by Calvin Burgess, a wealthy American who made his fortune in construction and real estate. Burgess set up the company to develop rice farms in Africa. It established its first farm on 7,000 ha in the Yala Swamp area in Kenya, which it obtained on a 25-year lease. The local communities living in the area complain of being displaced without compensation, of losing access to water and pasture for their livestock, of losing access to potable water and of pollution from the regular aerial spraying of fertilisers and agrochemicals. They continue to struggle to get their lands back and to get Dominion to leave. Undaunted by the opposition in Kenya, Burgess is now seeking to expand into Nigeria, where he has acquired a lease on more than 30,000 ha in Taraba State with the backing of former President Olusegun Obasanjo.
Nigeria	Vietnam Africa Agricultural Development Company 	Vietnam	Agribusiness	10,000	Rice		Done	Vietnam Africa Agricultural Development Company (VAADCO) is a Vietnamese and British joint venture seeking to develop intensive irrigated rice production in Africa. Its Chairman is Dr Vo-Tong Xuan, a high-level Vietnamese rice scientist who has worked closely with the international agriculture research centres. VAADCO is involved in rice-farm projects in Sudan, Mozambique, Rwanda, Burundi, Liberia, Ghana and Mauritania with various private sector partners. In 2009, it signed an MoU for a 10,000-ha concession in Nigeria's Anambra State. 
Nigeria	Vietnamese investors	Vietnam		4,000	Rice		Done	In July 2010, Tunde Lakoju, the Edo State Commissioner of Agriculture, said that an MoU had been signed with Vietnamese investors to cultivate 4,000 ha of rice in the state. The identity of the Vietnamese investors was not disclosed.
Pakistan	China Green	China	Agribusiness	4,000	Fruit, vegetables		In process	China Green Agriculture, which is listed on the New York Stock Exchange, claims that it is China's largest private company in the agricultural sector. During a November 2011 meeting with Federal Minister for National Food Security and Research, Mir Israrullah Khan Zehri, the company requested an initial 4,000 ha for a project to produce fruit and vegetables. Zehri said that Pakistan offered an excellent opportunity for investment in the agriculture sector and foreign investors would be welcome to invest in the sector.
Pakistan	Saudi Arabia	Saudi Arabia	Government	202,400	Fruit, vegetables, wheat		In process	In September 2009, Reuters reported that the Saudi government was in talks with Pakistan for 202,400 ha of farmland and that Pakistan's Ministry of Agriculture was in the process of identifying lands in four provinces to allocate to the Saudi project.
Pakistan	Al Dahra	UAE	Agribusiness	10,100	Rice 		Done	In August 2010, Abu Dhabi’s Al Dahra Agricultural Company, one of the main suppliers of animal feed to the UAE, said it was halfway through the implementation of a plan to produce feed and food crops on 60,700 ha of farmland in Europe, the US, South Asia and North Africa to boost the UAE’s food security. The company has 4,050 ha under rice production in Pakistan and intends to bring that to 10,100 ha before 2013.
Pakistan	Emirates Investment Group	UAE	Finance	35,000	Crops, dairy		In process	EIG is reported to be involved in two large farm projects in Pakistan, including one that would cover 35,000 ha. It is pursuing its dairy projects in Pakistan through a 50-50 joint venture with the New Zealand company Dairy SolutioNZ to develop large-scale farms in the Middle East and Pakistan.
Pakistan	United Arab Emirates	UAE	Government	324,000	Alfalfa, crops, livestock		Done	In 2008, the UAE was reported to have acquired 324,000 ha of farmland in Punjab, Sindh and Balochistan provinces. The provinces were defining the terms for the land leases, with the central government providing security forces to protect the farms. Abraaj Capital, a Dubai-based private equity group which manages assets of over US$6 billion, is reported to be involved in the deal.
Papua New Guinea	Far East Holdings Berhad	Malaysia	Agribusiness	140,000	Oil palm		Done	In 2010, Malaysia's Prosper Group, whose palm-oil operations have since been absorbed into Far East Holdings Berhad, signed a deal with leaders of the local Bewani people in the Vanimo-Green electorate, West Sepik  to convert 140,000 ha of virgin forest into the PNG's largest oil-palm plantation.
Papua New Guinea	Kulim	Malaysia	Agribusiness	25,000	Oil palm		Done	In 2010, Kulim paid US$175 million to acquire some 25,000 ha of oil-palm estates in Papua New Guinea from the world's largest agribusiness company, Cargill, and the Singapore government's investment arm Temasek Holdings. The acquisition will see the group's plantation acreage in Papua New Guinea increase 50% to about 75,000 ha.
Papua New Guinea	Mekeo Hinterland Holdings	Malaysia	Agribusiness	116,400	Oil palm		Done	The PNG newspaper the National reports that Mekeo Hinterland Holdings was granted a 99-year special agriculture and business lease to 116,400 ha of land in PNG in 2007, without consultation of the local communities. Mekeo subsequently made a sub-lease arrangement with Malaysian company, Albright Ltd, to log the area and develop oil-palm plantations. 
Papua New Guinea	Changhae Engineering	South Korea	Agribusiness	33,000	Cassava	US$100 million	Done	Changhae is a Korean producer of animal feeds and biofuels. In 2005, the company signed an agreement with the Government of PNG for a US$26-million cassava-based ethanol project. Through two subsidiaries in PNG, Changhae Tapioka Ltd and Cassava Etagon Holdings Ltd, Changhae acquired two concessions covering 33,000 ha in total in Central Province and New Ireland Province to produce cassava. PNG newspapers reported that Changhea would invest US$6 million in the development of its cassava plantations.
Paraguay	Cresud	Argentina	Agribusiness	142,000	Crops, soybeans, sunflowers		Done	Cresud was a small farmland operator managing 20,000 ha when it was taken over by George Soros and Argentinian real-estate tycoon Eduardo Elsztain in the 1990s. Within a few years, the company grew to control nearly half a million ha in Argentina. After Soros sold his shares in the company in 1999, Elsztain continued to expand its landholdings. By 2011, Cresud was Argentina's largest landholder, controlling over 628,000 ha, on which it produces mainly soybeans and cattle, as well as lands in neighbouring countries. Cresud controls 17,000 ha in Bolivia, 142,000 ha in Paraguay, and 175,000 ha in Brazil through its controlling interest in farmland operator BrasilAgro. Added up, Cresud's farmland bank stands at 962,000 ha. Elsztain typically finances Cresud's expansions through share sales on the Nasdaq. But it's also finding new sources of cash. In June 2011, it inked a deal for a joint venture with China's largest farming company, Heilongjiang Beidahuang Nongken Group, to buy land in Argentina and farm soybeans for the Group.
Paraguay	Los Grobo	Argentina	Agribusiness	22,000	Soybeans		Done	Los Grobo is owned by Argentina's Grobocopatel family, the second-largest soybean producers in the country, with over 120,000 ha under production. The company has recently focused on expansion in other Latin American countries, such as Uruguay, with soybeans planted on 76,300 ha, and Paraguay, where it plants soybeans on 22,000 ha. In Brazil, Los Grobo had 60,000 ha under production by 2011, and says it plans to triple its land holdings over the next few years by way of a joint venture company called LG Agronegócios & Participações SA, which will involve Brazil’s Grupo Vinci Partners, an investment company set up by former Banco Pactual SA parter Gilberto Sayao.
Paraguay	NFD Agro	Bermuda	Agribusiness	34,300	Maize, soybeans, sunflower		Done 	In 2009, the IFC approved a US$15-million loan to support the expansion plans of NFD Agro Ltd, a soybean-plantation company based in Paraguay that owns the company Desarrollo Agrícola del Paraguay (Grupo DAP) and that is heavily involved in the controversial Round Table on Responsible Soy Association. NFD Agro is controlled by Argentinian businessmen and the US bank JP Morgan, while TRG Management, a Calyx Agro shareholder, owns 11.7% of the company. NFD owns 26,600 ha and leases another 8,100 ha in Paraguay.
Paraguay	Calyx Agro	France	Finance	2,859	Crops, sugar cane 		Done 	Calyx Agro was established by Louis Dreyfus Commodities as a fund to purchase and turn over farmland in the Southern Cone of Latin America. Other key investors are PineBridge Investments (subsidiary of the Hong Kong-based Pacific Century Group), TRG Management, Worldstar Ltd, Pictet Private Equity Investors and Solvia Investment Management. In 2011, the World Bank's International Finance Corporation rejected an application from Calyx Agro to finance its activities.
Peru	Ecoamerica	South Korea	Agribusiness	72,000	Crops, forstry, livestock	US$57,600 (US$0.80/ha)	In process	In April 2011, two Shawi communities and one Kechwa community from the provinces of Alto Amazonas and San Martín, Peru, became aware that the South Korean company Ecoamerica had applied for the registration and titling of more than 72,000 ha of land, at a price of US$0.80 a hectare, for crop production, logging and livestock raising on lands within their territories. The communities have contested the concession, and the application has been put on hold, pending a decision by the Constitutional Court.
Peru	Maple Energy	US	Energy	13,500	Sugar cane	US$254 million 	Done	Maple acquired 13,500 ha in Piura and plans to cultivate sugar cane on 7,800 ha. It has also constructed an ethanol plant which will produce ethanol for export to the US and Europe.
Philippines	Hassan Group	Bahrain	Construction	10,000	Bananas, rice and other crops	US$250 million	Done	Hassan Group, Bahrain's largest conglomerate, established a joint venture with the Philippines-based AMA Group in 2010 called RP Harvest. In January 2012 Hassan Group signed a US$50-million agriculture investment deal in Mindanao, for the first phase of the project. AMA Group is owned by the family of Amable R. Aguiluz V, the Philippines' Special Envoy to the Gulf Cooperation Council since 2003. 1,000 ha seems to be already cultivated (Ref 2).
Philippines	Brunei Investment Authority	Brunei	Government	10,000	Rice		Proposed	In 2009 the Brunei Investment Authority was reported to be preparing an investment proposal for an agricultural project in Mindanao. In April 2010, the Minister of Agriculture of Brunei was in the Philippines, where he proposed a project for the establishment of a 10,000-ha rice operation, along with logistics and post-harvest and processing facilities.
Philippines	China	China	Government	1,280,000	Various		Suspended  	In 2007, the Philippine government signed 18 deals with China to provide Chinese companies with access to land. Popular opposition to the agricultural deals and the deals signed in other sectors forced the government to put the deals on hold. In September 2011, it was reported that the lease contracts signed by the Department of Agriculture with Chinese and other foreign entities were under review. One of the deals includes a 200,000-ha project with China's Beidahuang to develop 200,000 ha of rice, maize, and other crops in the province of Luzon.
Philippines	Green Future Innovation	Japan	Agribusiness, industrial	11,000	Sugar cane	US$120 million 	Done	Green Future Innovations is a joint-venture sugar-cane and ethanol project between Itochu Corp. and JGC Corp. of Japan, Bioethanol and Energy Investments Corp. of the Philippines and GCO of Taiwan. The project includes the development of an 11,000-ha sugar-cane plantation in the Province of Isabela that local groups say is already leading to the displacement of more than 1,000 farming families.
Philippines	Kuwait	Kuwait	Government	20,000	Maize, rice		In process	The Kuwait Ministry of Agriculture is considering a proposal from the Government of the Philippines for an agricultural project involving 10,000 ha for the cultivation of rice and 10,000 ha for maize
Philippines	Zuellig Group	Malaysia	Agribusiness, health care	30,000	Maize		In process	The Zuellig Group, headquartered in Kuala Lumpur, Malaysia, is one of the largest privately held conglomerates in the world, with an annual turnover of over US$12 billion. In March 2011, the company said that it was test-growing maize in the Philippines, where it plans to set up a 30,000-ha plantation to grow maize to supply its subsidiary Gold Coin, one of Asia's largest feed producers.
Philippines	Oman	Oman	Government	10,000	Rice		In process	The Oman Ministry of Agriculture is considering a proposal from the Government of the Philippines for an agricultural project involving 10,000 ha for the cultivation of rice.
Philippines	Qatar	Qatar	Government	100,000	Rice		In process	In December 2008, the Philippines' government made a proposal to the Qatar Investment Authority for an agricultural project involving 100,000 ha for the production of rice. 
Philippines	Far Eastern Agricultural Investment Company	Saudi Arabia	Agribusiness	50,000	Banana, maize, pineapple, rice		Done	In 2009, the Al Rajhi Group brought together ten Saudi Arabian agricultural companies, to form the Far Eastern Agricultural Investment Company, a US$27-million investment vehicle for the acquisition of farmland in Asia, mainly for rice production. In June 2010, the Financial Times reported that the joint venture had arranged leases in Cambodia, Vietnam, Pakistan and the Philippines for aromatic and long-grain basmati rice production for export to Saudi Arabia. In May 2010, it signed an MoU with AgriNurture of the Philippines to develop production of pineapple, banana, rice and maize on 50,000 ha. AgriNuture is pursuing similar projects with Beidahuang of China. In December 2011, Black River Capital Partners, a hedge fund owned by Cargill, acquired 28.11% of AgriNurture for US$30.45 million.
Philippines	Jeonnam Feedstock	South Korea	Government	94,000	Maize		Done	Jeonnam Feedstock is a company established by the government of the Province of South Jeolla, South Korea. In July 2009 it was reported that the company had acquired a 25-year lease for about 95,000 ha of farmland in Mindoro to grow low-cost grain for feed production. However, officials from both the central and provincial governments of the Philippines have denied knowledge of the deal.
Philippines	Lotte Group	South Korea	Agribusiness, construction, real estate 	10,000	Sugar cane		In process	In April 2011, it was reported that South Korea's Lotte group was pursuing a sugar-cane project involving around 10,000 ha in Central Luzon and the construction of a sugar mill. China's Wahaha Group has also indicated its interest in these same lands.
Philippines	South Korea	South Korea	Government	100,000	Maize, rice, sugar		Done	The Korean and Philippine governments signed an MoU for the creation of a Multiple Industry Cluster, under which the Philippines will identify and make available 100,000 ha for private investors from South Korea, with the Korean International Cooperation Agency providing technical assistance. In April 2011, Trade Under-secretary Cristino Panlilio said that an inter-agency task force was working on the identification of both private and government land for the project.
Philippines	San Carlos Bio-Energy	UK	Agribusiness	5,000	Sugar cane		Done	In 2003, Bronzeoak Ltd established Bronzeoak Philippines in partnership with Zabaleta & Co. of the Philippines to develop sugar-cane-based energy projects in the Philippines. More recently, the Swiss-German ThomasLloyd Group and FE Clean Energy of New York have joined the company. In 2006, with financing from China Bank, Bronzeoak Philippines opened an ethanol plant on Negros Island that will be supplied by a 5,000-ha sugar-cane plantation that the company is also developing in the area.
